Model,HUB Perplexity,HUB WER,Parameters
bigram,1550.506304,0.091086532,Lambda: 0.0
bigram,937.2911842,0.087833442,Lambda: 0.05
bigram,772.6441311,0.082628497,Lambda: 0.1
bigram,677.0668801,0.081327261,Lambda: 0.15000000000000002
bigram,612.4318337,0.078724789,Lambda: 0.2
bigram,565.320279,0.07807417,Lambda: 0.25
bigram,529.4639525,0.076122316,Lambda: 0.3
bigram,501.4670964,0.07482108,Lambda: 0.35
bigram,479.3190524,0.076122316,Lambda: 0.39999999999999997
bigram,461.7664993,0.074170462,Lambda: 0.44999999999999996
bigram,448.015495,0.074170462,Lambda: 0.49999999999999994
bigram,437.5820038,0.074170462,Lambda: 0.5499999999999999
bigram,430.2208596,0.074170462,Lambda: 0.6
bigram,425.9072812,0.074170462,Lambda: 0.65
bigram,424.8702381,0.078724789,Lambda: 0.7000000000000001
bigram,427.7057907,0.074170462,Lambda: 0.7500000000000001
bigram,435.6638531,0.07156799,Lambda: 0.8000000000000002
bigram,451.4193712,0.067013663,Lambda: 0.8500000000000002
bigram,481.6367099,0.066363045,Lambda: 0.9000000000000002
bigram,550.2549434,0.070917372,Lambda: 0.9500000000000003
