Model,HUB Perplexity,HUB WER,Parameters
bigram,1519.122592,0.091394263,Lambda: 0.0
bigram,942.8800882,0.09006004,Lambda: 0.05
bigram,783.3530345,0.083388926,Lambda: 0.1
bigram,690.6577135,0.084723149,Lambda: 0.15000000000000002
bigram,628.0315766,0.082721815,Lambda: 0.2
bigram,582.509824,0.082054703,Lambda: 0.25
bigram,548.0318344,0.078052035,Lambda: 0.3
bigram,521.3170497,0.0760507,Lambda: 0.35
bigram,500.4299709,0.0760507,Lambda: 0.39999999999999997
bigram,484.1749662,0.074716478,Lambda: 0.44999999999999996
bigram,471.8104104,0.076717812,Lambda: 0.49999999999999994
bigram,462.9077816,0.0760507,Lambda: 0.5499999999999999
bigram,457.2891849,0.072715143,Lambda: 0.6
bigram,455.0205295,0.074049366,Lambda: 0.65
bigram,456.4645461,0.0760507,Lambda: 0.7000000000000001
bigram,462.4325244,0.076717812,Lambda: 0.7500000000000001
bigram,474.5570568,0.070713809,Lambda: 0.8000000000000002
bigram,496.2908465,0.068712475,Lambda: 0.8500000000000002
bigram,536.2454893,0.066044029,Lambda: 0.9000000000000002
bigram,625.6888159,0.068045364,Lambda: 0.9500000000000003
