Model,HUB Perplexity,HUB WER,Parameters
quadgram,485.9617726858829,0.07286922576447626,Lambda1: 0.35 Lambda2: 0.15 Lambda3: 0.2
quadgram,482.93136333501354,0.07221860767729343,Lambda1: 0.35 Lambda2: 0.15 Lambda3: 0.21000000000000002
quadgram,480.27787382860583,0.07091737150292778,Lambda1: 0.35 Lambda2: 0.15 Lambda3: 0.22000000000000003
quadgram,477.98973302758327,0.07026675341574495,Lambda1: 0.35 Lambda2: 0.15 Lambda3: 0.23000000000000004
quadgram,476.0590698288102,0.07091737150292778,Lambda1: 0.35 Lambda2: 0.15 Lambda3: 0.24000000000000005
quadgram,474.48153857797485,0.07286922576447626,Lambda1: 0.35 Lambda2: 0.15 Lambda3: 0.25000000000000006
quadgram,473.2562568997476,0.0741704619388419,Lambda1: 0.35 Lambda2: 0.15 Lambda3: 0.26000000000000006
quadgram,472.3858529143337,0.0741704619388419,Lambda1: 0.35 Lambda2: 0.15 Lambda3: 0.2700000000000001
quadgram,471.8766261107635,0.0741704619388419,Lambda1: 0.35 Lambda2: 0.15 Lambda3: 0.2800000000000001
quadgram,471.7388339585441,0.07351984385165908,Lambda1: 0.35 Lambda2: 0.15 Lambda3: 0.2900000000000001
quadgram,471.98712559562216,0.07091737150292778,Lambda1: 0.35 Lambda2: 0.15 Lambda3: 0.3000000000000001
quadgram,472.64115582989785,0.07091737150292778,Lambda1: 0.35 Lambda2: 0.15 Lambda3: 0.3100000000000001
quadgram,473.7264289365352,0.07026675341574495,Lambda1: 0.35 Lambda2: 0.15 Lambda3: 0.3200000000000001
quadgram,475.2754449158123,0.06766428106701367,Lambda1: 0.35 Lambda2: 0.15 Lambda3: 0.3300000000000001
quadgram,477.3292551262039,0.07026675341574495,Lambda1: 0.35 Lambda2: 0.15 Lambda3: 0.34000000000000014
quadgram,479.93958634719087,0.06831489915419649,Lambda1: 0.35 Lambda2: 0.15 Lambda3: 0.35000000000000014
quadgram,483.17177399969955,0.06766428106701367,Lambda1: 0.35 Lambda2: 0.15 Lambda3: 0.36000000000000015
